x,y,z
1532333504.04,4604562.988789509776677282743449,-2458180.258374469498413913881802,6912489.028026688801461457441981
1532333509.04,4606455.664658276829464924049694,-2474928.534144255654681879255595,6922022.038274174381758657058982
1532333514.04,4608266.440635138868059000834153,-2491640.716115886904044739060477,6931449.393385810564614231686543
1532333519.04,4609995.637342226214710573464433,-2508316.665709422228829781433595,6940771.433267005554223868782029
1532333524.04,4611643.572250102884790972679760,-2524956.244881415105023386604298,6949988.493613391094435680754311
1532333529.04,4613210.559723146438783300458451,-2541559.316105642615382330367891,6959100.905964808554096211516045
1532333534.04,4614696.911064023769475212516122,-2558125.742354269131027636175252,6968108.997758298835754925808467
1532333539.04,4616102.934557396908485307741287,-2574655.387079330598450790383602,6977013.092380028229815874108750
1532333544.04,4617428.935512787371276990226325,-2591148.114194594933774184212434,6985813.509216271403542824480235
1532333549.04,4618675.216306617595882852866945,-2607603.788057760504877176356170,6994510.563703362139924243547457
1532333554.04,4619842.076423489552185078716956,-2624022.273452976118966160050906,7003104.567376717491846383769501
1532333559.04,4620929.812496710428800729826505,-2640403.435573693521999103775338,7011595.827918918016193960636988
1532333564.04,4621938.718348043642384025046981,-2656747.140005836036441279442710,7019984.649206889195960690348096
1532333569.04,4622869.085026779228970811464305,-2673053.252711265403326042381754,7028271.331358180509343230644130
1532333574.04,4623721.200848015404209963658249,-2689321.640011539567721235964621,7036456.170776374312062769628804
1532333579.04,4624495.351430314358427861077675,-2705552.168571982467538378347841,7044539.460195626319286827769771
1532333584.04,4625191.819732655063058724865246,-2721744.705385991391075945527814,7052521.488724359327554008543811
1532333589.04,4625810.886090701375599500036678,-2737899.117759647874781804424584,7060402.541888197633971506038906
1532333594.04,4626352.828252431335463327590574,-2754015.273296577281419789342053,7068182.901672009214803552607922
1532333599.04,4626817.921413128803898337625782,-2770093.039883068787688827102703,7075862.846561221505830552568948
1532333604.04,4627206.438249763671944005374925,-2786132.285673427987620757739892,7083442.651582363782298074029607
1532333609.04,4627518.648954740733924219560618,-2802132.879075599884616602230364,7090922.588342839158372651739617
1532333614.04,4627754.821269052333026546378607,-2818094.688736984055761719976872,7098302.925069945837910182907905
1532333619.04,4627915.220514857061941898173914,-2834017.583530503991853261987741,7105583.926649228911050300929181
1532333624.04,4628000.109627516870576061199556,-2849901.432540900088145860350501,7112765.854662021531414717298967
